Date,Netflix,Disney+
2017-10-15,38,0
2017-10-22,39,0
2017-10-29,42,0
2017-11-05,39,0
2017-11-12,37,0
2017-11-19,40,0
2017-11-26,39,0
2017-12-03,41,0
2017-12-10,40,0
2017-12-17,46,0
2017-12-24,54,0
2017-12-31,54,0
2018-01-07,44,0
2018-01-14,46,0
2018-01-21,46,0
2018-01-28,44,0
2018-02-04,41,0
2018-02-11,44,0
2018-02-18,41,0
2018-02-25,44,0
2018-03-04,42,0
2018-03-11,40,0
2018-03-18,43,0
2018-03-25,47,0
2018-04-01,46,0
2018-04-08,40,0
2018-04-15,42,0
2018-04-22,40,0
2018-04-29,43,0
2018-05-06,38,0
2018-05-13,42,0
2018-05-20,44,0
2018-05-27,43,0
2018-06-03,41,0
2018-06-10,41,0
2018-06-17,41,0
2018-06-24,38,0
2018-07-01,41,0
2018-07-08,41,0
2018-07-15,41,0
2018-07-22,44,0
2018-07-29,44,0
2018-08-05,40,0
2018-08-12,43,0
2018-08-19,43,0
2018-08-26,42,0
2018-09-02,42,0
2018-09-09,41,0
2018-09-16,40,0
2018-09-23,39,0
2018-09-30,39,0
2018-10-07,41,0
2018-10-14,44,0
2018-10-21,43,0
2018-10-28,47,0
2018-11-04,42,0
2018-11-11,41,0
2018-11-18,41,0
2018-11-25,41,0
2018-12-02,43,0
2018-12-09,41,0
2018-12-16,45,0
2018-12-23,68,0
2018-12-30,66,0
2019-01-06,59,0
2019-01-13,56,0
2019-01-20,53,0
2019-01-27,52,0
2019-02-03,47,0
2019-02-10,46,0
2019-02-17,46,0
2019-02-24,43,0
2019-03-03,43,0
2019-03-10,41,0
2019-03-17,41,0
2019-03-24,41,0
2019-03-31,42,0
2019-04-07,43,1
2019-04-14,45,1
2019-04-21,43,0
2019-04-28,42,0
2019-05-05,40,0
2019-05-12,41,0
2019-05-19,42,0
2019-05-26,44,0
2019-06-02,44,0
2019-06-09,43,0
2019-06-16,45,0
2019-06-23,42,0
2019-06-30,44,0
2019-07-07,46,0
2019-07-14,48,0
2019-07-21,48,1
2019-07-28,47,0
2019-08-04,45,1
2019-08-11,45,0
2019-08-18,46,2
2019-08-25,45,2
2019-09-01,44,1
2019-09-08,42,1
2019-09-15,44,1
2019-09-22,44,1
2019-09-29,44,1
2019-10-06,42,1
2019-10-13,44,1
2019-10-20,45,2
2019-10-27,47,2
2019-11-03,45,4
2019-11-10,44,33
2019-11-17,47,17
2019-11-24,42,10
2019-12-01,42,8
2019-12-08,43,6
2019-12-15,51,6
2019-12-22,65,8
2019-12-29,66,6
2020-01-05,57,4
2020-01-12,51,4
2020-01-19,54,4
2020-01-26,50,3
2020-02-02,51,4
2020-02-09,49,3
2020-02-16,48,3
2020-02-23,51,4
2020-03-01,46,4
2020-03-08,48,4
2020-03-15,83,8
2020-03-22,96,21
2020-03-29,100,12
2020-04-05,91,11
2020-04-12,83,8
2020-04-19,86,7
2020-04-26,84,6
2020-05-03,74,6
2020-05-10,70,5
2020-05-17,67,5
2020-05-24,66,4
2020-05-31,62,4
2020-06-07,63,4
2020-06-14,59,4
2020-06-21,63,5
2020-06-28,63,9
2020-07-05,62,6
2020-07-12,60,4
2020-07-19,61,4
2020-07-26,57,4
2020-08-02,56,4
2020-08-09,53,4
2020-08-16,58,4
2020-08-23,57,4
2020-08-30,55,6
2020-09-06,59,5
2020-09-13,60,5
2020-09-20,55,5
2020-09-27,51,4
2020-10-04,54,4
2020-10-11,51,4
2020-10-18,52,4
2020-10-25,55,5
2020-11-01,51,6
2020-11-08,53,6
2020-11-15,53,17
2020-11-22,55,10
2020-11-29,56,9
2020-12-06,56,10
2020-12-13,55,9
2020-12-20,65,13
2020-12-27,80,14
2021-01-03,64,9
2021-01-10,62,9
2021-01-17,64,8
2021-01-24,60,8
2021-01-31,58,8
2021-02-07,54,7
2021-02-14,59,8
2021-02-21,52,9
2021-02-28,53,8
2021-03-07,53,8
2021-03-14,49,7
2021-03-21,52,7
2021-03-28,53,8
2021-04-04,53,8
2021-04-11,50,7
2021-04-18,52,7
2021-04-25,51,7
2021-05-02,51,7
2021-05-09,51,6
2021-05-16,49,6
2021-05-23,48,7
2021-05-30,48,7
2021-06-06,47,8
2021-06-13,46,8
2021-06-20,50,9
2021-06-27,51,10
2021-07-04,52,11
2021-07-11,50,10
2021-07-18,51,9
2021-07-25,46,8
2021-08-01,47,8
2021-08-08,48,7
2021-08-15,50,7
2021-08-22,50,7
2021-08-29,50,8
2021-09-05,49,7
2021-09-12,44,6
2021-09-19,52,6
2021-09-26,52,6
2021-10-03,55,6
2021-10-10,54,6
2021-10-17,53,6
2021-10-24,51,6
2021-10-31,51,6
2021-11-07,49,9
2021-11-14,48,9
2021-11-21,48,8
2021-11-28,48,7
2021-12-05,52,8
2021-12-12,52,9
2021-12-19,55,11
2021-12-26,66,12
2022-01-02,67,11
2022-01-09,63,11
2022-01-16,58,10
2022-01-23,57,9
2022-01-30,60,9
2022-02-06,55,8
2022-02-13,52,8
2022-02-20,50,8
2022-02-27,50,7
2022-03-06,49,8
2022-03-13,49,9
2022-03-20,50,9
2022-03-27,46,9
2022-04-03,46,9
2022-04-10,50,10
2022-04-17,55,8
2022-04-24,49,8
2022-05-01,47,9
2022-05-08,45,8
2022-05-15,46,8
2022-05-22,45,10
2022-05-29,47,9
2022-06-05,47,9
2022-06-12,48,12
2022-06-19,49,11
2022-06-26,51,10
2022-07-03,50,9
2022-07-10,52,9
2022-07-17,55,9
2022-07-24,50,9
2022-07-31,53,9
2022-08-07,52,9
2022-08-14,50,9
2022-08-21,50,8
2022-08-28,49,9
2022-09-04,46,10
2022-09-11,46,10
2022-09-18,49,9
2022-09-25,56,10
2022-10-02,51,10
